sample_id,mq2_raw
690,4004
691,4007
692,4011
693,4014
694,4015
695,4018
696,4019
697,4022
698,4024
699,4025
700,4026
701,4029
702,4031
703,4032
704,4035
705,4036
706,4035
707,4033
708,4030
709,4027
710,4026
711,4024
712,4021
713,4019
714,4017
715,4015
716,4012
717,4011
718,4007
719,4006
720,4002
721,3999
722,3997
723,3995
724,3993
725,3993
726,3993
727,3993
728,3997
729,3999
730,4002
731,4004
732,4006
733,4009
734,4011
735,4012
736,4014
737,4015
738,4018
739,4019
740,4021
741,4024
742,4025
743,4027
744,4030
745,4030
746,4032
747,4033
748,4035
749,4036
750,4038
751,4039
752,4040
753,4041
754,4041
755,4041
756,4041
757,4040
758,4039
759,4037
760,4036
761,4033
762,4032
763,4030
764,4029
765,4027
766,4026
767,4024
768,4022
769,4019
770,4018
771,4017
772,4015
773,4012
774,4011
775,4009
776,4007
777,4006
778,4004
779,4002
780,4001
781,3999
782,3997
783,3995
784,3993
785,3992
786,3992
787,3990
788,3990
789,3990
790,3990
791,3990
792,3990
793,3990
794,3988
795,3986
796,3988
797,3988
798,3990
799,3992
800,3995
801,3997
802,4001
803,4002
804,4004
805,4004
806,4006
807,4007
808,4009
809,4011
810,4014
811,4015
812,4017
813,4018
814,4021
815,4021
816,4024
817,4025
818,4026
819,4029
820,4030
821,4032
822,4033
823,4036
824,4037
825,4039
826,4040
827,4041
828,4040
829,4039
830,4037
831,4036
832,4036
833,4037
834,4039
835,4039
836,4038
837,4036
838,4033
839,4031
840,4030
841,4032
842,4032
843,4035
844,4036
845,4037
846,4039
847,4040
848,4041
849,4040
850,4038
851,4037
852,4035
853,4032
854,4031
855,4030
856,4029
857,4026
858,4024
859,4025
860,4022
861,4019
862,4018
863,4017
864,4015
865,4015
866,4015
867,4017
868,4019
869,4022
870,4021
871,4018
872,4018
873,4021
874,4024
875,4025
876,4026
877,4024
878,4022
879,4021
880,4022
881,4024
882,4026
883,4027
884,4029
885,4031
886,4032
887,4035
888,4036
889,4035
890,4032
891,4030
892,4029
893,4026
894,4029
895,4030
896,4038
897,4041
898,4041
899,4041
900,4041
901,4041
902,4041
903,4041
904,4041
905,4041
906,4041
