sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
161,74638,398.36,0.00,0.00,0.00,398.36,0
162,74964,398.36,0.00,0.00,0.00,398.36,0
163,75290,398.36,0.00,0.00,0.00,398.36,0
164,75616,398.36,0.00,0.00,0.00,398.36,0
165,75942,398.36,0.00,0.00,0.00,398.36,0
166,76268,397.42,-0.94,0.94,-2.89,398.17,0
167,76594,395.43,-1.99,1.99,-6.10,397.59,0
168,76920,394.36,-1.06,1.06,-3.26,396.79,0
169,77246,393.42,-0.94,0.94,-2.89,395.80,0
170,77572,393.42,0.00,0.00,0.00,394.81,0
171,77898,392.36,-1.06,1.06,-3.26,393.80,0
172,78224,391.41,-0.94,0.94,-2.89,393.00,0
173,78550,390.35,-1.06,1.06,-3.26,392.19,0
174,78876,390.35,0.00,0.00,0.00,391.58,0
175,79202,390.35,0.00,0.00,0.00,390.97,0
176,79528,390.35,0.00,0.00,0.00,390.56,0
177,79854,390.35,0.00,0.00,0.00,390.35,0
178,80180,390.35,0.00,0.00,0.00,390.35,0
179,80506,390.35,0.00,0.00,0.00,390.35,0
180,80832,390.35,0.00,0.00,0.00,390.35,0
181,81158,390.35,0.00,0.00,0.00,390.35,0
182,81484,390.35,0.00,0.00,0.00,390.35,0
183,81810,390.35,0.00,0.00,0.00,390.35,0
184,82136,390.35,0.00,0.00,0.00,390.35,0
185,82462,390.35,0.00,0.00,0.00,390.35,0
186,82788,390.35,0.00,0.00,0.00,390.35,0
187,83114,390.35,0.00,0.00,0.00,390.35,0
188,83440,390.35,0.00,0.00,0.00,390.35,0
189,83766,390.35,0.00,0.00,0.00,390.35,0
190,84092,390.35,0.00,0.00,0.00,390.35,0
191,84418,389.29,-1.06,1.06,-3.26,390.14,0
192,84744,389.29,0.00,0.00,0.00,389.93,0
193,85070,388.34,-0.94,0.94,-2.89,389.52,0
194,85396,388.34,0.00,0.00,0.00,389.12,0
195,85722,388.34,0.00,0.00,0.00,388.72,0
196,86048,388.34,0.00,0.00,0.00,388.53,0
197,86374,387.28,-1.06,1.06,-3.26,388.13,0
198,86700,386.36,-0.93,0.93,-2.84,387.73,0
199,87026,386.36,0.00,0.00,0.00,387.34,0
200,87351,385.29,-1.06,1.06,-3.27,386.73,0
201,87677,384.35,-0.94,0.94,-2.89,385.93,0
202,88003,383.29,-1.06,1.06,-3.26,385.13,0
203,88328,381.28,-2.01,2.01,-6.17,384.11,0
204,88653,380.22,-1.06,1.06,-3.27,382.88,0
205,88978,380.22,0.00,0.00,0.00,381.87,0
206,89303,380.22,0.00,0.00,0.00,381.04,0
207,89628,380.22,0.00,0.00,0.00,380.43,0
208,89953,379.27,-0.94,0.94,-2.90,380.03,0
209,90278,379.27,0.00,0.00,0.00,379.84,0
210,90603,379.27,0.00,0.00,0.00,379.65,0
211,90928,379.27,0.00,0.00,0.00,379.46,0
212,91253,379.27,0.00,0.00,0.00,379.27,0
213,91578,379.27,0.00,0.00,0.00,379.27,0
214,91903,379.27,0.00,0.00,0.00,379.27,0
215,92228,379.27,0.00,0.00,0.00,379.27,0
216,92553,379.27,0.00,0.00,0.00,379.27,0
217,92878,379.27,0.00,0.00,0.00,379.27,0
218,93203,378.21,-1.06,1.06,-3.27,379.06,0
219,93528,377.27,-0.94,0.94,-2.90,378.66,0
220,93853,377.27,0.00,0.00,0.00,378.26,0
221,94178,377.27,0.00,0.00,0.00,377.86,0
222,94503,376.20,-1.06,1.06,-3.27,377.24,0
223,94828,376.20,0.00,0.00,0.00,376.84,0
224,95153,376.20,0.00,0.00,0.00,376.63,0
225,95478,376.20,0.00,0.00,0.00,376.42,0
226,95803,376.20,0.00,0.00,0.00,376.20,0
227,96128,376.20,0.00,0.00,0.00,376.20,0
228,96453,376.20,0.00,0.00,0.00,376.20,0
229,96778,375.26,-0.94,0.94,-2.90,376.01,0
230,97103,374.20,-1.06,1.06,-3.27,375.61,0
231,97428,373.25,-0.94,0.94,-2.90,375.02,0
232,97753,372.21,-1.05,1.05,-3.22,374.22,0
233,98078,372.21,0.00,0.00,0.00,373.42,0
234,98403,371.14,-1.06,1.06,-3.27,372.60,0
235,98728,370.20,-0.94,0.94,-2.90,371.80,0
236,99053,370.20,0.00,0.00,0.00,371.19,0
237,99377,370.20,0.00,0.00,0.00,370.79,0
238,99701,370.20,0.00,0.00,0.00,370.39,0
239,100025,370.20,0.00,0.00,0.00,370.20,0
240,100349,370.20,0.00,0.00,0.00,370.20,0
241,100673,370.20,0.00,0.00,0.00,370.20,0
242,100997,370.20,0.00,0.00,0.00,370.20,0
243,101321,370.20,0.00,0.00,0.00,370.20,0
244,101645,370.20,0.00,0.00,0.00,370.20,0
245,101969,369.14,-1.06,1.06,-3.28,369.99,0
246,102294,369.14,0.00,0.00,0.00,369.77,0
