sample_id,time_ms,distance_cm,delta_cm,abs_delta_cm,velocity_cm_s,moving_avg_cm,event
2807.0,897185.0,183.61,-0.94,0.94,-3.0,184.98,0
422.0,159181.0,214.84,-9.07,9.07,-28.71,232.99,0
812.0,281771.0,143.17,-9.09,9.09,-29.13,161.76,0
1723.0,561861.0,28.25,0.0,0.0,0.0,28.62,1
2112.0,680885.0,187.62,21.21,21.21,67.78,169.24,0
3269.0,1040902.0,151.31,-0.94,0.94,-3.02,152.9,0
375.0,144057.0,350.97,0.0,0.0,0.0,351.6,0
2541.0,814121.0,130.1,0.0,0.0,0.0,130.91,0
1967.0,636128.0,34.27,-1.06,1.06,-3.49,35.12,1
2995.0,955670.0,31.2,0.0,0.0,0.0,60.45,1
3360.0,1069098.0,86.71,0.0,0.0,0.0,87.54,0
1107.0,373116.0,111.94,0.0,0.0,0.0,112.15,0
2728.0,872347.0,188.56,0.0,0.0,0.0,188.0,0
2523.0,808523.0,139.16,-1.06,1.06,-3.42,140.19,0
1244.0,415354.0,54.42,0.0,0.0,0.0,55.24,0
1173.0,393512.0,106.86,0.94,0.94,3.05,106.11,0
1714.0,559116.0,29.19,-1.06,1.06,-3.49,30.42,1
871.0,300056.0,110.87,0.0,0.0,0.0,110.31,0
1188.0,398147.0,106.86,0.0,0.0,0.0,107.07,0
1722.0,561556.0,28.25,0.0,0.0,0.0,28.81,1
2857.0,912827.0,152.26,-1.06,1.06,-3.41,153.3,0
3114.0,992004.0,259.27,0.0,0.0,0.0,213.66,0
1959.0,633688.0,34.27,0.0,0.0,0.0,33.84,1
2606.0,834272.0,115.01,1.05,1.05,3.37,113.78,0
2723.0,870777.0,187.62,0.0,0.0,0.0,186.79,0
805.0,279576.0,197.64,-1.06,1.06,-3.39,198.49,0
1971.0,637348.0,35.33,0.0,0.0,0.0,34.9,1
3207.0,1021480.0,198.7,0.0,0.0,0.0,199.52,0
569.0,205474.0,186.56,-1.06,1.06,-3.39,187.97,0
284.0,114607.0,358.06,0.0,0.0,0.0,358.06,0
1713.0,558811.0,30.25,0.0,0.0,0.0,30.82,1
3304.0,1051791.0,124.1,0.0,0.0,0.0,125.28,0
1694.0,553016.0,36.27,0.0,0.0,0.0,36.27,1
1709.0,557591.0,31.2,-1.06,1.06,-3.49,32.42,1
1905.0,617218.0,30.25,0.0,0.0,0.0,29.61,1
1784.0,580426.0,24.13,0.0,0.0,0.0,24.34,1
593.0,213005.0,191.62,-1.06,1.06,-3.39,193.46,0
1944.0,629113.0,32.26,1.06,1.06,3.49,31.03,1
3289.0,1047131.0,135.14,-1.06,1.06,-3.42,136.37,0
1690.0,551796.0,36.27,0.94,0.94,3.09,35.52,1
761.0,265758.0,196.69,0.0,0.0,0.0,197.07,0
1894.0,613866.0,27.18,1.05,1.05,3.44,26.35,1
