sample_id,time_ms,temp_c,humidity,ldr_raw,ldr_pct,light_state,mq2_raw,mq2_pct,gas_state,temp_state,label
146,147535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
147,148529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
148,149535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
149,150529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
150,151535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
151,152529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
152,153535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
153,154529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
154,155535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
155,156529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
156,157535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
157,158529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
158,159535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
159,160529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
160,161535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
161,162529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
162,163535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
163,164529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
164,165535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
165,166529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
166,167535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
167,168529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
168,169535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
169,170529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
170,171535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
171,172529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
172,173535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
173,174529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
174,175535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
175,176529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
176,177535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
177,178529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
178,179535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
179,180529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
180,181535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
181,182529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
182,183535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
183,184529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
184,185535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
185,186529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
186,187535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
187,188529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
188,189535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
189,190529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
190,191535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
191,192529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
192,193535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
193,194529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
194,195535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
195,196529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
196,197535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
197,198529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
198,199535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
199,200529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
200,201535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
201,202529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
202,203535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
203,204529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
204,205535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
205,206529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
206,207535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
207,208529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
208,209535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
209,210529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
210,211535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
211,212529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
212,213535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
213,214529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
214,215535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
215,216529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
216,217535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
217,218529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
218,219535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
219,220529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
220,221535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
221,222529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
222,223535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
223,224529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
224,225535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
225,226529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
226,227535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
227,228529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
228,229535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
229,230529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
230,231535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
231,232529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
232,233535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
233,234529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
234,235535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
235,236529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
236,237535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
237,238529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
238,239535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
239,240529,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
240,241535,21.40,72.50,4016,98.07,CLARO,843,20.59,GAS_BAJO,TEMP_NORMAL,NORMAL
